,Num,thre,Opt_p_cl(N_est),Opt_p_cl(Max_f),MCC(cl),Error(cl),Accur(cl),Opt_p_reg(N_est),Opt_p_reg(Max_f),MCC(reg.),Error(reg),Accur(reg)
110,21.0,6.5,500.0,512.0,0.5203954639283259,0.13981481481481478,0.8601851851851852,300.0,768.0,0.46482168709817884,0.1527777777777778,0.8472222222222221
111,22.0,6.5,300.0,256.0,0.5675146969907126,0.11851851851851851,0.8814814814814815,101.0,768.0,0.5501699413242964,0.1222222222222222,0.8777777777777779
112,23.0,6.5,300.0,256.0,0.46050496162762755,0.14074074074074075,0.8592592592592592,500.0,768.0,0.4255519768622283,0.1472222222222222,0.8527777777777776
113,24.0,6.5,101.0,512.0,0.5250254402562763,0.1388888888888889,0.861111111111111,500.0,256.0,0.5141261008840378,0.14166666666666666,0.8583333333333334
114,25.0,6.5,101.0,256.0,0.5299153513956271,0.12962962962962962,0.8703703703703705,500.0,768.0,0.48672479904405763,0.1388888888888889,0.861111111111111
115,26.0,6.5,300.0,512.0,0.5991935297678028,0.11203703703703702,0.887962962962963,500.0,512.0,0.5874571310847012,0.11388888888888889,0.8861111111111111
116,27.0,6.5,101.0,512.0,0.5176925653869204,0.14351851851851852,0.8564814814814815,500.0,512.0,0.46549106384269257,0.15555555555555559,0.8444444444444444
117,28.0,6.5,300.0,768.0,0.4702476444429825,0.14351851851851852,0.8564814814814815,101.0,768.0,0.46147802688888645,0.13796296296296298,0.862037037037037
118,29.0,6.5,500.0,512.0,0.6317712922115124,0.11574074074074074,0.8842592592592593,300.0,512.0,0.5705211627467459,0.13240740740740742,0.8675925925925926
119,30.0,6.5,300.0,512.0,0.5074059048370978,0.13333333333333336,0.8666666666666666,300.0,768.0,0.46926734154369554,0.14074074074074078,0.8592592592592592
120,1.0,7.0,500.0,768.0,0.6350086760627138,0.058333333333333334,0.9416666666666667,500.0,512.0,0.3968023784956768,0.08425925925925926,0.9157407407407406
121,2.0,7.0,500.0,768.0,0.5571924708697026,0.06481481481481481,0.9351851851851853,300.0,768.0,0.5293241368099749,0.06759259259259259,0.9324074074074072
122,3.0,7.0,101.0,512.0,0.603463644944316,0.08055555555555556,0.9194444444444445,500.0,768.0,0.26396358372080214,0.125,0.875
123,4.0,7.0,500.0,768.0,0.5254350742036907,0.08703703703703704,0.912962962962963,500.0,768.0,0.42325327530304085,0.1,0.9
124,5.0,7.0,101.0,512.0,0.5783005050288383,0.07222222222222222,0.9277777777777777,500.0,768.0,0.35902112249833634,0.09814814814814815,0.9018518518518519
125,6.0,7.0,500.0,512.0,0.5813133805048156,0.075,0.925,300.0,768.0,0.5097120016943204,0.08425925925925924,0.9157407407407406
126,7.0,7.0,500.0,768.0,0.596090237871969,0.07407407407407407,0.9259259259259259,500.0,768.0,0.415487976760862,0.09722222222222221,0.9027777777777779
127,8.0,7.0,300.0,256.0,0.5235563998281872,0.0685185185185185,0.9314814814814815,300.0,768.0,0.44823978246794427,0.07685185185185185,0.923148148148148
128,9.0,7.0,300.0,768.0,0.6567672978933174,0.06018518518518519,0.9398148148148147,101.0,768.0,0.4626239731680409,0.08518518518518517,0.9148148148148149
129,10.0,7.0,300.0,768.0,0.6058771598384747,0.07777777777777778,0.9222222222222222,500.0,768.0,0.5081749287811809,0.09259259259259259,0.9074074074074074
130,11.0,7.0,500.0,256.0,0.5571924708697026,0.06481481481481481,0.9351851851851853,500.0,512.0,0.407946746459542,0.07962962962962963,0.9203703703703704
131,12.0,7.0,500.0,256.0,0.609148555475963,0.07685185185185185,0.923148148148148,101.0,768.0,0.4873464074346615,0.09537037037037037,0.9046296296296296
132,13.0,7.0,300.0,768.0,0.6347928135483639,0.05555555555555556,0.9444444444444444,101.0,768.0,0.40902274032076563,0.07962962962962963,0.9203703703703703
133,14.0,7.0,300.0,256.0,0.4420640136561526,0.09814814814814815,0.9018518518518519,101.0,768.0,0.19437656507371118,0.12037037037037038,0.8796296296296295
134,15.0,7.0,500.0,768.0,0.46670890548166044,0.08425925925925926,0.9157407407407409,101.0,768.0,0.31278790576118015,0.09722222222222222,0.9027777777777779
135,16.0,7.0,101.0,768.0,0.5454660455345681,0.09259259259259259,0.9074074074074074,500.0,768.0,0.5486081240616181,0.09259259259259259,0.9074074074074074
136,17.0,7.0,300.0,768.0,0.47486439993189195,0.1,0.9,500.0,768.0,0.3465956621029663,0.11574074074074074,0.8842592592592593
137,18.0,7.0,300.0,512.0,0.5650320290095081,0.07870370370370369,0.9212962962962962,500.0,768.0,0.41559346254681184,0.09722222222222221,0.9027777777777779
138,19.0,7.0,500.0,768.0,0.5971484496103001,0.06481481481481481,0.9351851851851853,300.0,768.0,0.4106183665853135,0.08333333333333333,0.9166666666666666
