smiles,chembl_id,potency,pec50,category
FC(F)(F)c1cccc2c(c(Cc3ccccc3)cnc12)c4cccc(Oc5cccc(c5)C(=O)N6CCOCC6)c4,CHEMBL450409,138,6.86012091359876,active
Cc1cc(C)c2c(OCCCN(CC(c3ccccc3)c4ccccc4)Cc5cccc(c5Cl)C(F)(F)F)n[nH]c2n1,CHEMBL451889,510,6.29242982390206,active
COC(=O)[C@](F)([C@H]1Cc2[nH]c3ccc(Cl)cc3c2C1)S(=O)(=O)c4cccnc4,CHEMBL453391,340,6.46852108295774,active
CN(C)c1noc(n1)[C@](F)([C@H]2Cc3[nH]c4ccc(Cl)cc4c3C2)S(=O)(=O)c5ccccc5,CHEMBL453616,120,6.92081875395238,active
COC(=O)[C@](C)([C@@H]1CCc2c(C1)[nH]c3ccc(Cl)cc23)S(=O)(=O)c4ccc(Cl)c(Cl)c4,CHEMBL454408,40000,4.39794000867204,inactive
COC(=O)[C@](C)([C@@H]1CCc2c(C1)[nH]c3ccc(Cl)cc23)S(=O)(=O)c4ccccc4Cl,CHEMBL454409,1530,5.8153085691824,inactive
COC(=O)[C@](C)([C@@H]1CCc2c(C1)[nH]c3ccc(Cl)cc23)S(=O)(=O)c4ccccc4OC,CHEMBL454410,3160,5.5003129173816,inactive
FC(F)(F)c1cccc2c(c(Cc3ccccc3)cnc12)c4cccc(Oc5cccc(c5)C(=O)N6CCCCC6)c4,CHEMBL454596,170,6.76955107862173,active
COC(=O)[C@](F)([C@H]1Cc2[nH]c3ccc(Cl)nc3c2C1)S(=O)(=O)c4ccccc4,CHEMBL454622,370,6.43179827593301,active
CN(C)C(=O)[C@](F)([C@H]1Cc2[nH]c3ccc(Cl)cc3c2C1)S(=O)(=O)c4ccccc4,CHEMBL454623,110,6.95860731484177,active
COC(=O)[C@](C)([C@@H]1CCc2c(C1)[nH]c3ccc(Cl)cc23)S(=O)(=O)c4ccc(F)cc4,CHEMBL455204,370,6.43179827593301,active
